feature_id,location,,feature_id,Age_Group,,feature_id,profession,,id,name,description,detailed_explanation,category,age_group,profession,location,,Profession,Count
1,Nationwide,,1,All Age Groups,,1,"Daily Wage Workers, Low-Income Individuals",,1,Zero-Poverty,"Comprehensive measures to eradicate poverty through social welfare, employment, and financial inclusion programs.","{affects"": ""- Low-income households receive financial aid and job opportunities\n- Entrepreneurs and MSMEs benefit from microfinance support\n- Social welfare schemes improve standard of living"""," ""explanation"": ""- Implement large-scale employment generation programs\n- Expand social security and direct benefit transfers\n- Strengthen financial inclusion and microfinance initiatives""}""",All Age Groups,"Daily Wage Workers, Low-Income Individuals",Nationwide,,"Daily Wage Workers, Low-Income Individuals",1
2,Nationwide,,2,Children,,2,"Students, Teachers",,2,Hundred Per Cent Good Quality School Education,"Ensuring universal access to high-quality education through curriculum reform, teacher training, and infrastructure development.","{affects"": ""- Students receive improved education quality\n- Teachers benefit from professional development programs\n- Parents see better academic outcomes for children"""," ""explanation"": ""- Upgrade school infrastructure and digital learning facilities\n- Implement teacher training programs for quality education\n- Introduce skill-based learning and holistic curriculum""}""",Children,"Students, Teachers",Nationwide,,"Students, Teachers",2
3,Nationwide,,3,All Age Groups,,3,General Public,,3,"Access to High-Quality, Affordable, and Comprehensive Healthcare","Initiatives to enhance healthcare accessibility and affordability, including the establishment of Day Care Cancer Centres and exemption of customs duty on life-saving cancer drugs.","{affects"": ""- Improved access to quality cancer care in underserved regions\n- Reduced financial burden on patients requiring life-saving medications"""," ""explanation"": ""- Establish Day Care Cancer Centres in all district hospitals over the next three years\n- Exempt 36 life-saving cancer drugs from customs duty""}""",All Age Groups,General Public,Nationwide,,General Public,14
4,Nationwide,,4,Adults,,4,General Public,,4,Hundred Per Cent Skilled Labour with Meaningful Employment,Initiatives to achieve full skilled employment through intensive skill-development programs and employment generation across various sectors.,"{affects"": ""- Youth gain relevant skills for employment\n- Increased job opportunities in diverse sectors\n- Economic growth through a skilled workforce"""," ""explanation"": ""- Organize intensive skill-development programs for youth\n- Create employment opportunities in sectors like tourism",Adults,General Public,Nationwide,,Female Workforce,1
5,Nationwide,,5,Adults,,5,Female Workforce,,5,Seventy Per Cent Women in Economic Activities,"Initiatives to increase women's participation in the workforce from the current 40.3% to 70%, including enhanced gender-focused budget allocations and support for women entrepreneurs.","{affects"": ""- Women gain increased access to financial resources and entrepreneurial support\n- Enhanced skill development programs lead to higher employability of women\n- Overall economic growth through increased female labor force participation"""," ""explanation"": ""- Increase Gender Budget allocation to 8.86% of the total budget\n- Provide term loans up to INR 2 crore for first-time women entrepreneurs over the next five years\n- Support skill development and employment opportunities for women""}""",Adults,Female Workforce,Nationwide,,"Agribusiness Entrepreneurs, Exporters, Farmers",1
6,Nationwide,,6,Adults,,6,"Agribusiness Entrepreneurs, Exporters, Farmers",,6,"Farmers Making Our Country the Food Basket of the World""""","Initiatives to enhance agricultural productivity and export potential, positioning India as a leading global food supplier.","{affects"": ""- Farmers benefit from improved resources and market access\n- Strengthened agricultural supply chains\n- Enhanced global competitiveness of Indian agriculture"""," ""explanation"": ""- Increase budget allocation for agriculture by over 15% to $20 billion\n- Develop high-yielding seed varieties and improve storage infrastructure\n- Aim to boost farm exports to $80 billion by 2030""}""",Adults,"Agribusiness Entrepreneurs, Exporters, Farmers",Nationwide,,"Economists, General Public",2
7,Nationwide,,7,All Age Groups,,7,"Economists, General Public",,7,Union Budget 2025-2026 Financial Estimates,"The total receipts, excluding borrowings, are estimated at ₹34.96 lakh crore, while the total expenditure is projected at ₹50.65 lakh crore for the fiscal year 2025-2026.","{affects"": ""- Reflects the government's fiscal policy and budgetary allocations for various sectors"""," ""explanation"": ""- Total receipts (excluding borrowings): ₹34.96 lakh crore\n- Total expenditure: ₹50.65 lakh crore""}""",All Age Groups,"Economists, General Public",Nationwide,,"Farmers, Rural Communities",2
8,Nationwide,,8,All Age Groups,,8,"Economists, General Public",,8,Union Budget 2025-2026 Net Tax Receipts,The net tax receipts for the fiscal year 2025-2026 are estimated at ₹28.37 lakh crore.,"{affects"": ""- Indicates the government's revenue from taxes after transfers to states"""," ""explanation"": ""- Net tax receipts: ₹28.37 lakh crore""}""",All Age Groups,"Economists, General Public",Nationwide,,"Farmers, General Public",1
9,Nationwide,,9,All Age Groups,,9,General Public,,9,Union Budget 2025-2026 Fiscal Deficit Estimate,The fiscal deficit for the fiscal year 2025-2026 is estimated to be 4.4% of GDP.,"{affects"": ""- A high fiscal deficit can lead to inflation", affecting the cost of living for citizens.\n- It influences interest rates,All Age Groups,General Public,Nationwide,,"Agribusiness Entrepreneurs, Farmers",2
10,Nationwide,,10,All Age Groups,,10,General Public,,10,Union Budget 2025-2026 Gross Market Borrowings,The government plans to borrow ₹14.82 lakh crore from the market in the fiscal year 2025-2026 to finance its expenditure.,"{affects"": ""- Investors and financial institutions have opportunities to invest in government securities.\n- Proper management of borrowings can lead to stable interest rates", affecting loans and savings for the general public.\n- Ensures funding for infrastructure projects,All Age Groups,General Public,Nationwide,,"Agricultural Scientists, Farmers",1
